ds_name,classifier_name,metric_name,true_value
analcatdata_japansolvent,RandomForestClassifier,f1,0.8566
analcatdata_japansolvent,RandomForestClassifier,precision,0.8895
analcatdata_japansolvent,RandomForestClassifier,recall,0.8650
analcatdata_japansolvent,SVC,accuracy,0.7883
analcatdata_japansolvent,SVC,balanced_accuracy,0.7883
analcatdata_japansolvent,SVC,f1,0.7766
analcatdata_japansolvent,SVC,precision,0.8189
analcatdata_japansolvent,SVC,recall,0.7883
appendicitis,DecisionTreeClassifier,accuracy,0.8473
appendicitis,DecisionTreeClassifier,balanced_accuracy,0.7608
appendicitis,DecisionTreeClassifier,f1,0.7377
appendicitis,DecisionTreeClassifier,precision,0.7609
appendicitis,DecisionTreeClassifier,recall,0.7608
appendicitis,LogisticRegression,accuracy,0.8427
appendicitis,LogisticRegression,balanced_accuracy,0.7911
appendicitis,LogisticRegression,f1,0.7554
appendicitis,LogisticRegression,precision,0.7567
appendicitis,LogisticRegression,recall,0.7911
appendicitis,RandomForestClassifier,accuracy,0.8445
appendicitis,RandomForestClassifier,balanced_accuracy,0.7883
appendicitis,RandomForestClassifier,f1,0.7531
appendicitis,RandomForestClassifier,precision,0.7626
appendicitis,RandomForestClassifier,recall,0.7883
appendicitis,SVC,accuracy,0.8718
appendicitis,SVC,balanced_accuracy,0.8089
appendicitis,SVC,f1,0.7862
appendicitis,SVC,precision,0.7924
appendicitis,SVC,recall,0.8089
backache,DecisionTreeClassifier,accuracy,0.7572
backache,DecisionTreeClassifier,balanced_accuracy,0.6728
backache,DecisionTreeClassifier,f1,0.6178
backache,DecisionTreeClassifier,precision,0.6244
backache,DecisionTreeClassifier,recall,0.6728
backache,LogisticRegression,accuracy,0.7239
backache,LogisticRegression,balanced_accuracy,0.6343
backache,LogisticRegression,f1,0.5751
backache,LogisticRegression,precision,0.5805
backache,LogisticRegression,recall,0.6343
backache,RandomForestClassifier,accuracy,0.7722
backache,RandomForestClassifier,balanced_accuracy,0.5976
backache,RandomForestClassifier,f1,0.5737
backache,RandomForestClassifier,precision,0.5807
backache,RandomForestClassifier,recall,0.5976
backache,SVC,accuracy,0.6239
backache,SVC,balanced_accuracy,0.6620
backache,SVC,f1,0.5350
backache,SVC,precision,0.5834
backache,SVC,recall,0.6620
car,DecisionTreeClassifier,accuracy,0.9729
car,DecisionTreeClassifier,balanced_accuracy,0.9638
car,DecisionTreeClassifier,f1,0.9443
car,DecisionTreeClassifier,precision,0.9323
car,DecisionTreeClassifier,recall,0.9638
car,LogisticRegression,accuracy,0.4990
car,LogisticRegression,balanced_accuracy,0.5021
car,LogisticRegression,f1,0.2916
car,LogisticRegression,precision,0.3157
car,LogisticRegression,recall,0.5021
car,RandomForestClassifier,accuracy,0.9731
car,RandomForestClassifier,balanced_accuracy,0.9616
car,RandomForestClassifier,f1,0.9382
car,RandomForestClassifier,precision,0.9234
car,RandomForestClassifier,recall,0.9616
car,SVC,accuracy,0.9857
car,SVC,balanced_accuracy,0.9913
car,SVC,f1,0.9844
car,SVC,precision,0.9788
car,SVC,recall,0.9913
chess,DecisionTreeClassifier,accuracy,0.9948
chess,DecisionTreeClassifier,balanced_accuracy,0.9947
chess,DecisionTreeClassifier,f1,0.9948
chess,DecisionTreeClassifier,precision,0.9949
chess,DecisionTreeClassifier,recall,0.9947
chess,LogisticRegression,accuracy,0.9729
chess,LogisticRegression,balanced_accuracy,0.9730
chess,LogisticRegression,f1,0.9729
chess,LogisticRegression,precision,0.9729
chess,LogisticRegression,recall,0.9730
chess,RandomForestClassifier,accuracy,0.9913
chess,RandomForestClassifier,balanced_accuracy,0.9912
chess,RandomForestClassifier,f1,0.9913
chess,RandomForestClassifier,precision,0.9915
chess,RandomForestClassifier,recall,0.9912
chess,SVC,accuracy,0.9960
chess,SVC,balanced_accuracy,0.9959
chess,SVC,f1,0.9960
chess,SVC,precision,0.9960
chess,SVC,recall,0.9959
colic,DecisionTreeClassifier,accuracy,0.8224
colic,DecisionTreeClassifier,balanced_accuracy,0.8112
colic,DecisionTreeClassifier,f1,0.8102
colic,DecisionTreeClassifier,precision,0.8168
colic,DecisionTreeClassifier,recall,0.8112
colic,LogisticRegression,accuracy,0.8178
colic,LogisticRegression,balanced_accuracy,0.8142
colic,LogisticRegression,f1,0.8085
colic,LogisticRegression,precision,0.8110
colic,LogisticRegression,recall,0.8142
colic,RandomForestClassifier,accuracy,0.8459
colic,RandomForestClassifier,balanced_accuracy,0.8421
colic,RandomForestClassifier,f1,0.8377
colic,RandomForestClassifier,precision,0.8406
colic,RandomForestClassifier,recall,0.8421
colic,SVC,accuracy,0.8135
colic,SVC,balanced_accuracy,0.7982
colic,SVC,f1,0.7991
colic,SVC,precision,0.8087
colic,SVC,recall,0.7982
dna,DecisionTreeClassifier,accuracy,0.9188
dna,DecisionTreeClassifier,balanced_accuracy,0.9132
dna,DecisionTreeClassifier,f1,0.9088
dna,DecisionTreeClassifier,precision,0.9058
dna,DecisionTreeClassifier,recall,0.9132
dna,LogisticRegression,accuracy,0.9480
dna,LogisticRegression,balanced_accuracy,0.9492
dna,LogisticRegression,f1,0.9423
dna,LogisticRegression,precision,0.9369
dna,LogisticRegression,recall,0.9492
dna,RandomForestClassifier,accuracy,0.9525
dna,RandomForestClassifier,balanced_accuracy,0.9484
dna,RandomForestClassifier,f1,0.9457
dna,RandomForestClassifier,precision,0.9441
dna,RandomForestClassifier,recall,0.9484
dna,SVC,accuracy,0.9615
dna,SVC,balanced_accuracy,0.9606
dna,SVC,f1,0.9570
dna,SVC,precision,0.9541
dna,SVC,recall,0.9606
flare,DecisionTreeClassifier,accuracy,0.7786
flare,DecisionTreeClassifier,balanced_accuracy,0.6899
flare,DecisionTreeClassifier,f1,0.6588
flare,DecisionTreeClassifier,precision,0.6471
flare,DecisionTreeClassifier,recall,0.6899
flare,LogisticRegression,accuracy,0.7385
flare,LogisticRegression,balanced_accuracy,0.7034
flare,LogisticRegression,f1,0.6409
flare,LogisticRegression,precision,0.6335
flare,LogisticRegression,recall,0.7034
flare,RandomForestClassifier,accuracy,0.7434
flare,RandomForestClassifier,balanced_accuracy,0.7012
flare,RandomForestClassifier,f1,0.6429
flare,RandomForestClassifier,precision,0.6348
flare,RandomForestClassifier,recall,0.7012
flare,SVC,accuracy,0.7723
flare,SVC,balanced_accuracy,0.7080
flare,SVC,f1,0.6638
flare,SVC,precision,0.6505
flare,SVC,recall,0.7080
hepatitis,DecisionTreeClassifier,accuracy,0.7744
