,,,CBDSCV,CBDSCV_Mini
accuracy,2,bias,32,48
accuracy,2,std,39,41
accuracy,5,bias,43,37
accuracy,5,std,40,40
accuracy,10,bias,44,36
accuracy,10,std,35,45
f1,2,bias,35,45
f1,2,std,38,42
f1,5,bias,43,37
f1,5,std,43,37
f1,10,bias,33,47
f1,10,std,38,42
