,dataset_name,classifier_name,splitter_method,n_splits,metric_name,expected_estimate,estimate_std,true_value,bias
49,allrep,DecisionTreeClassifier,CBDSCV,5,f1,0.62128,0.03486,0.65720,-0.03592
50,allrep,DecisionTreeClassifier,CBDSCV,10,f1,0.62707,0.02473,0.65720,-0.03013
51,allrep,DecisionTreeClassifier,CBDSCV_Mini,2,f1,0.61400,0.03605,0.65720,-0.04320
52,allrep,DecisionTreeClassifier,CBDSCV_Mini,5,f1,0.62485,0.03445,0.65720,-0.03235
53,allrep,DecisionTreeClassifier,CBDSCV_Mini,10,f1,0.62858,0.02895,0.65720,-0.02862
54,allrep,DecisionTreeClassifier,DBSCV,2,f1,0.60970,0.03178,0.65720,-0.04750
55,allrep,DecisionTreeClassifier,DBSCV,5,f1,0.63405,0.03434,0.65720,-0.02315
56,allrep,DecisionTreeClassifier,DBSCV,10,f1,0.62495,0.02732,0.65720,-0.03225
57,allrep,DecisionTreeClassifier,DOBSCV,2,f1,0.59739,0.03262,0.65720,-0.05981
58,allrep,DecisionTreeClassifier,DOBSCV,5,f1,0.62563,0.02421,0.65720,-0.03157
59,allrep,DecisionTreeClassifier,DOBSCV,10,f1,0.62125,0.02853,0.65720,-0.03595
60,allrep,DecisionTreeClassifier,KFold,2,f1,0.60545,0.04234,0.65720,-0.05175
61,allrep,DecisionTreeClassifier,KFold,5,f1,0.62947,0.03011,0.65720,-0.02773
62,allrep,DecisionTreeClassifier,KFold,10,f1,0.62316,0.02568,0.65720,-0.03404
63,allrep,DecisionTreeClassifier,ShuffleSplit,2,f1,0.62267,0.07133,0.65720,-0.03453
64,allrep,DecisionTreeClassifier,ShuffleSplit,5,f1,0.62281,0.04676,0.65720,-0.03439
65,allrep,DecisionTreeClassifier,ShuffleSplit,10,f1,0.61362,0.04054,0.65720,-0.04358
66,allrep,DecisionTreeClassifier,StratifiedKFold,2,f1,0.60379,0.03620,0.65720,-0.05341
67,allrep,DecisionTreeClassifier,StratifiedKFold,5,f1,0.63198,0.02599,0.65720,-0.02522
68,allrep,DecisionTreeClassifier,StratifiedKFold,10,f1,0.63900,0.03145,0.65720,-0.01820
69,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,2,f1,0.64972,0.06141,0.65720,-0.00748
70,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,5,f1,0.64336,0.04008,0.65720,-0.01384
71,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,10,f1,0.64554,0.04509,0.65720,-0.01166
72,allrep,DecisionTreeClassifier,CBDSCV,2,precision,0.54814,0.03808,0.58600,-0.03786
73,allrep,DecisionTreeClassifier,CBDSCV,5,precision,0.55365,0.03615,0.58600,-0.03235
74,allrep,DecisionTreeClassifier,CBDSCV,10,precision,0.56592,0.02359,0.58600,-0.02008
75,allrep,DecisionTreeClassifier,CBDSCV_Mini,2,precision,0.55027,0.03936,0.58600,-0.03573
76,allrep,DecisionTreeClassifier,CBDSCV_Mini,5,precision,0.55623,0.03210,0.58600,-0.02977
77,allrep,DecisionTreeClassifier,CBDSCV_Mini,10,precision,0.56909,0.02685,0.58600,-0.01691
78,allrep,DecisionTreeClassifier,DBSCV,2,precision,0.54599,0.03482,0.58600,-0.04001
79,allrep,DecisionTreeClassifier,DBSCV,5,precision,0.56882,0.03517,0.58600,-0.01718
80,allrep,DecisionTreeClassifier,DBSCV,10,precision,0.56570,0.02936,0.58600,-0.02030
81,allrep,DecisionTreeClassifier,DOBSCV,2,precision,0.53267,0.03462,0.58600,-0.05333
82,allrep,DecisionTreeClassifier,DOBSCV,5,precision,0.55767,0.02195,0.58600,-0.02833
83,allrep,DecisionTreeClassifier,DOBSCV,10,precision,0.56173,0.02895,0.58600,-0.02427
84,allrep,DecisionTreeClassifier,KFold,2,precision,0.53840,0.04365,0.58600,-0.04760
85,allrep,DecisionTreeClassifier,KFold,5,precision,0.55948,0.02643,0.58600,-0.02652
86,allrep,DecisionTreeClassifier,KFold,10,precision,0.56112,0.02722,0.58600,-0.02488
87,allrep,DecisionTreeClassifier,ShuffleSplit,2,precision,0.57038,0.06789,0.58600,-0.01562
88,allrep,DecisionTreeClassifier,ShuffleSplit,5,precision,0.56335,0.04828,0.58600,-0.02265
89,allrep,DecisionTreeClassifier,ShuffleSplit,10,precision,0.55333,0.03897,0.58600,-0.03267
90,allrep,DecisionTreeClassifier,StratifiedKFold,2,precision,0.53661,0.03604,0.58600,-0.04939
91,allrep,DecisionTreeClassifier,StratifiedKFold,5,precision,0.55844,0.02735,0.58600,-0.02756
92,allrep,DecisionTreeClassifier,StratifiedKFold,10,precision,0.57209,0.03310,0.58600,-0.01391
93,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,2,precision,0.58706,0.07237,0.58600,0.00106
94,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,5,precision,0.57613,0.04556,0.58600,-0.00987
95,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,10,precision,0.57952,0.04551,0.58600,-0.00648
96,allrep,DecisionTreeClassifier,CBDSCV,2,recall,0.77625,0.03557,0.82790,-0.05165
97,allrep,DecisionTreeClassifier,CBDSCV,5,recall,0.79109,0.03130,0.82790,-0.03681
98,allrep,DecisionTreeClassifier,CBDSCV,10,recall,0.79770,0.02812,0.82790,-0.03020
99,allrep,DecisionTreeClassifier,CBDSCV_Mini,2,recall,0.76428,0.03819,0.82790,-0.06361
100,allrep,DecisionTreeClassifier,CBDSCV_Mini,5,recall,0.79709,0.03699,0.82790,-0.03081
101,allrep,DecisionTreeClassifier,CBDSCV_Mini,10,recall,0.80535,0.03303,0.82790,-0.02255
102,allrep,DecisionTreeClassifier,DBSCV,2,recall,0.76036,0.02441,0.82790,-0.06754
103,allrep,DecisionTreeClassifier,DBSCV,5,recall,0.80607,0.03321,0.82790,-0.02183
104,allrep,DecisionTreeClassifier,DBSCV,10,recall,0.80302,0.03218,0.82790,-0.02488
105,allrep,DecisionTreeClassifier,DOBSCV,2,recall,0.75811,0.03115,0.82790,-0.06979
106,allrep,DecisionTreeClassifier,DOBSCV,5,recall,0.80072,0.02585,0.82790,-0.02718
107,allrep,DecisionTreeClassifier,DOBSCV,10,recall,0.79185,0.03494,0.82790,-0.03605
108,allrep,DecisionTreeClassifier,KFold,2,recall,0.76092,0.03490,0.82790,-0.06698
109,allrep,DecisionTreeClassifier,KFold,5,recall,0.80090,0.03745,0.82790,-0.02700
110,allrep,DecisionTreeClassifier,KFold,10,recall,0.80282,0.03379,0.82790,-0.02508
111,allrep,DecisionTreeClassifier,ShuffleSplit,2,recall,0.79376,0.10770,0.82790,-0.03414
112,allrep,DecisionTreeClassifier,ShuffleSplit,5,recall,0.80011,0.05858,0.82790,-0.02779
113,allrep,DecisionTreeClassifier,ShuffleSplit,10,recall,0.79348,0.04467,0.82790,-0.03442
114,allrep,DecisionTreeClassifier,StratifiedKFold,2,recall,0.75217,0.04229,0.82790,-0.07573
115,allrep,DecisionTreeClassifier,StratifiedKFold,5,recall,0.79687,0.02476,0.82790,-0.03103
116,allrep,DecisionTreeClassifier,StratifiedKFold,10,recall,0.80412,0.02893,0.82790,-0.02378
117,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,2,recall,0.81486,0.06936,0.82790,-0.01304
118,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,5,recall,0.81011,0.04577,0.82790,-0.01779
119,allrep,DecisionTreeClassifier,StratifiedShuffleSplit,10,recall,0.81058,0.04812,0.82790,-0.01732
120,allrep,LogisticRegression,CBDSCV,2,accuracy,0.90015,0.00191,0.90180,-0.00165
121,allrep,LogisticRegression,CBDSCV,5,accuracy,0.90184,0.00157,0.90180,0.00004
122,allrep,LogisticRegression,CBDSCV,10,accuracy,0.90178,0.00150,0.90180,-0.00002
123,allrep,LogisticRegression,CBDSCV_Mini,2,accuracy,0.90040,0.00166,0.90180,-0.00140
124,allrep,LogisticRegression,CBDSCV_Mini,5,accuracy,0.90156,0.00149,0.90180,-0.00024
125,allrep,LogisticRegression,CBDSCV_Mini,10,accuracy,0.90173,0.00148,0.90180,-0.00007
126,allrep,LogisticRegression,DBSCV,2,accuracy,0.90080,0.00183,0.90180,-0.00100
127,allrep,LogisticRegression,DBSCV,5,accuracy,0.90177,0.00168,0.90180,-0.00003
128,allrep,LogisticRegression,DBSCV,10,accuracy,0.90189,0.00167,0.90180,0.00009
129,allrep,LogisticRegression,DOBSCV,2,accuracy,0.90052,0.00128,0.90180,-0.00128
130,allrep,LogisticRegression,DOBSCV,5,accuracy,0.90183,0.00128,0.90180,0.00003
131,allrep,LogisticRegression,DOBSCV,10,accuracy,0.90193,0.00160,0.90180,0.00013
132,allrep,LogisticRegression,KFold,2,accuracy,0.90085,0.00174,0.90180,-0.00095
133,allrep,LogisticRegression,KFold,5,accuracy,0.90168,0.00174,0.90180,-0.00012
134,allrep,LogisticRegression,KFold,10,accuracy,0.90176,0.00166,0.90180,-0.00004
135,allrep,LogisticRegression,ShuffleSplit,2,accuracy,0.90332,0.00767,0.90180,0.00152
136,allrep,LogisticRegression,ShuffleSplit,5,accuracy,0.90318,0.00504,0.90180,0.00138
137,allrep,LogisticRegression,ShuffleSplit,10,accuracy,0.90200,0.00418,0.90180,0.00020
138,allrep,LogisticRegression,StratifiedKFold,2,accuracy,0.90062,0.00154,0.90180,-0.00118
139,allrep,LogisticRegression,StratifiedKFold,5,accuracy,0.90172,0.00126,0.90180,-0.00008
140,allrep,LogisticRegression,StratifiedKFold,10,accuracy,0.90191,0.00148,0.90180,0.00011
141,allrep,LogisticRegression,StratifiedShuffleSplit,2,accuracy,0.90045,0.00755,0.90180,-0.00135
142,allrep,LogisticRegression,StratifiedShuffleSplit,5,accuracy,0.90171,0.00524,0.90180,-0.00009
143,allrep,LogisticRegression,StratifiedShuffleSplit,10,accuracy,0.90166,0.00461,0.90180,-0.00014
144,allrep,LogisticRegression,CBDSCV,2,balanced_accuracy,0.76179,0.03892,0.81560,-0.05381
145,allrep,LogisticRegression,CBDSCV,5,balanced_accuracy,0.79345,0.02251,0.81560,-0.02215
146,allrep,LogisticRegression,CBDSCV,10,balanced_accuracy,0.80272,0.02533,0.81560,-0.01288
147,allrep,LogisticRegression,CBDSCV_Mini,2,balanced_accuracy,0.76228,0.02740,0.81560,-0.05332
148,allrep,LogisticRegression,CBDSCV_Mini,5,balanced_accuracy,0.79243,0.01560,0.81560,-0.02317
149,allrep,LogisticRegression,CBDSCV_Mini,10,balanced_accuracy,0.79765,0.01867,0.81560,-0.01795
150,allrep,LogisticRegression,DBSCV,2,balanced_accuracy,0.76978,0.03239,0.81560,-0.04582
151,allrep,LogisticRegression,DBSCV,5,balanced_accuracy,0.79932,0.02008,0.81560,-0.01628
152,allrep,LogisticRegression,DBSCV,10,balanced_accuracy,0.80557,0.02409,0.81560,-0.01003
153,allrep,LogisticRegression,DOBSCV,2,balanced_accuracy,0.76989,0.02658,0.81560,-0.04570
154,allrep,LogisticRegression,DOBSCV,5,balanced_accuracy,0.79203,0.02495,0.81560,-0.02357
155,allrep,LogisticRegression,DOBSCV,10,balanced_accuracy,0.79940,0.02722,0.81560,-0.01620
156,allrep,LogisticRegression,KFold,2,balanced_accuracy,0.77426,0.02495,0.81560,-0.04134
157,allrep,LogisticRegression,KFold,5,balanced_accuracy,0.79146,0.02508,0.81560,-0.02414
158,allrep,LogisticRegression,KFold,10,balanced_accuracy,0.79351,0.02600,0.81560,-0.02209
