,dataset_name,classifier_name,splitter_method,repeat_id,n_splits,running_time
97,flare,LogisticRegression,DOBSCV,12,5,0.0353
98,flare,LogisticRegression,DOBSCV,12,10,0.0268
99,flare,LogisticRegression,DOBSCV,13,2,0.0672
100,flare,LogisticRegression,DOBSCV,13,5,0.0370
101,flare,LogisticRegression,DOBSCV,13,10,0.0264
102,flare,LogisticRegression,DOBSCV,14,2,0.0659
103,flare,LogisticRegression,DOBSCV,14,5,0.0348
104,flare,LogisticRegression,DOBSCV,14,10,0.0261
105,flare,LogisticRegression,DOBSCV,15,2,0.0658
106,flare,LogisticRegression,DOBSCV,15,5,0.0350
107,flare,LogisticRegression,DOBSCV,15,10,0.0256
108,flare,LogisticRegression,DOBSCV,16,2,0.0650
109,flare,LogisticRegression,DOBSCV,16,5,0.0340
110,flare,LogisticRegression,DOBSCV,16,10,0.0264
111,flare,LogisticRegression,DOBSCV,17,2,0.0641
112,flare,LogisticRegression,DOBSCV,17,5,0.0347
113,flare,LogisticRegression,DOBSCV,17,10,0.0261
114,flare,LogisticRegression,DOBSCV,18,2,0.0675
115,flare,LogisticRegression,DOBSCV,18,5,0.0393
116,flare,LogisticRegression,DOBSCV,18,10,0.0273
117,flare,LogisticRegression,DOBSCV,19,2,0.0697
118,flare,LogisticRegression,DOBSCV,19,5,0.0360
119,flare,LogisticRegression,DOBSCV,19,10,0.0264
120,flare,LogisticRegression,CBDSCV,0,2,0.0566
121,flare,LogisticRegression,CBDSCV,0,5,0.0510
122,flare,LogisticRegression,CBDSCV,0,10,0.0505
123,flare,LogisticRegression,CBDSCV,1,2,0.0490
124,flare,LogisticRegression,CBDSCV,1,5,0.0577
125,flare,LogisticRegression,CBDSCV,1,10,0.0529
126,flare,LogisticRegression,CBDSCV,2,2,0.0553
127,flare,LogisticRegression,CBDSCV,2,5,0.0506
128,flare,LogisticRegression,CBDSCV,2,10,0.0489
129,flare,LogisticRegression,CBDSCV,3,2,0.0479
130,flare,LogisticRegression,CBDSCV,3,5,0.0510
131,flare,LogisticRegression,CBDSCV,3,10,0.0512
132,flare,LogisticRegression,CBDSCV,4,2,0.0485
133,flare,LogisticRegression,CBDSCV,4,5,0.0487
134,flare,LogisticRegression,CBDSCV,4,10,0.0513
135,flare,LogisticRegression,CBDSCV,5,2,0.0533
136,flare,LogisticRegression,CBDSCV,5,5,0.0529
137,flare,LogisticRegression,CBDSCV,5,10,0.0491
138,flare,LogisticRegression,CBDSCV,6,2,0.0547
139,flare,LogisticRegression,CBDSCV,6,5,0.0624
140,flare,LogisticRegression,CBDSCV,6,10,0.0527
141,flare,LogisticRegression,CBDSCV,7,2,0.0473
142,flare,LogisticRegression,CBDSCV,7,5,0.0475
143,flare,LogisticRegression,CBDSCV,7,10,0.0498
144,flare,LogisticRegression,CBDSCV,8,2,0.0512
145,flare,LogisticRegression,CBDSCV,8,5,0.0551
146,flare,LogisticRegression,CBDSCV,8,10,0.0491
147,flare,LogisticRegression,CBDSCV,9,2,0.0588
148,flare,LogisticRegression,CBDSCV,9,5,0.0488
149,flare,LogisticRegression,CBDSCV,9,10,0.0536
150,flare,LogisticRegression,CBDSCV,10,2,0.0554
151,flare,LogisticRegression,CBDSCV,10,5,0.0540
152,flare,LogisticRegression,CBDSCV,10,10,0.0504
153,flare,LogisticRegression,CBDSCV,11,2,0.0499
154,flare,LogisticRegression,CBDSCV,11,5,0.0563
155,flare,LogisticRegression,CBDSCV,11,10,0.0529
156,flare,LogisticRegression,CBDSCV,12,2,0.0573
157,flare,LogisticRegression,CBDSCV,12,5,0.0567
158,flare,LogisticRegression,CBDSCV,12,10,0.0509
159,flare,LogisticRegression,CBDSCV,13,2,0.0529
160,flare,LogisticRegression,CBDSCV,13,5,0.0525
161,flare,LogisticRegression,CBDSCV,13,10,0.0505
162,flare,LogisticRegression,CBDSCV,14,2,0.0495
163,flare,LogisticRegression,CBDSCV,14,5,0.0518
164,flare,LogisticRegression,CBDSCV,14,10,0.0524
165,flare,LogisticRegression,CBDSCV,15,2,0.0573
166,flare,LogisticRegression,CBDSCV,15,5,0.0598
167,flare,LogisticRegression,CBDSCV,15,10,0.0603
168,flare,LogisticRegression,CBDSCV,16,2,0.0562
169,flare,LogisticRegression,CBDSCV,16,5,0.0619
170,flare,LogisticRegression,CBDSCV,16,10,0.0530
171,flare,LogisticRegression,CBDSCV,17,2,0.0585
172,flare,LogisticRegression,CBDSCV,17,5,0.0599
173,flare,LogisticRegression,CBDSCV,17,10,0.0526
174,flare,LogisticRegression,CBDSCV,18,2,0.0586
175,flare,LogisticRegression,CBDSCV,18,5,0.0549
176,flare,LogisticRegression,CBDSCV,18,10,0.0576
177,flare,LogisticRegression,CBDSCV,19,2,0.0604
178,flare,LogisticRegression,CBDSCV,19,5,0.0506
179,flare,LogisticRegression,CBDSCV,19,10,0.0508
180,flare,LogisticRegression,CBDSCV_Mini,0,2,0.0190
181,flare,LogisticRegression,CBDSCV_Mini,0,5,0.0188
182,flare,LogisticRegression,CBDSCV_Mini,0,10,0.0188
183,flare,LogisticRegression,CBDSCV_Mini,1,2,0.0303
184,flare,LogisticRegression,CBDSCV_Mini,1,5,0.0310
185,flare,LogisticRegression,CBDSCV_Mini,1,10,0.0306
186,flare,LogisticRegression,CBDSCV_Mini,2,2,0.0228
187,flare,LogisticRegression,CBDSCV_Mini,2,5,0.0226
188,flare,LogisticRegression,CBDSCV_Mini,2,10,0.0231
189,flare,LogisticRegression,CBDSCV_Mini,3,2,0.0231
190,flare,LogisticRegression,CBDSCV_Mini,3,5,0.0233
191,flare,LogisticRegression,CBDSCV_Mini,3,10,0.0234
192,flare,LogisticRegression,CBDSCV_Mini,4,2,0.0197
193,flare,LogisticRegression,CBDSCV_Mini,4,5,0.0202
194,flare,LogisticRegression,CBDSCV_Mini,4,10,0.0199
195,flare,LogisticRegression,CBDSCV_Mini,5,2,0.0257
196,flare,LogisticRegression,CBDSCV_Mini,5,5,0.0256
197,flare,LogisticRegression,CBDSCV_Mini,5,10,0.0257
198,flare,LogisticRegression,CBDSCV_Mini,6,2,0.0223
199,flare,LogisticRegression,CBDSCV_Mini,6,5,0.0222
200,flare,LogisticRegression,CBDSCV_Mini,6,10,0.0225
201,flare,LogisticRegression,CBDSCV_Mini,7,2,0.0192
202,flare,LogisticRegression,CBDSCV_Mini,7,5,0.0190
203,flare,LogisticRegression,CBDSCV_Mini,7,10,0.0191
204,flare,LogisticRegression,CBDSCV_Mini,8,2,0.0264
205,flare,LogisticRegression,CBDSCV_Mini,8,5,0.0262
206,flare,LogisticRegression,CBDSCV_Mini,8,10,0.0268
207,flare,LogisticRegression,CBDSCV_Mini,9,2,0.0267
208,flare,LogisticRegression,CBDSCV_Mini,9,5,0.0267
209,flare,LogisticRegression,CBDSCV_Mini,9,10,0.0268
210,flare,LogisticRegression,CBDSCV_Mini,10,2,0.0188
211,flare,LogisticRegression,CBDSCV_Mini,10,5,0.0185
212,flare,LogisticRegression,CBDSCV_Mini,10,10,0.0188
213,flare,LogisticRegression,CBDSCV_Mini,11,2,0.0192
214,flare,LogisticRegression,CBDSCV_Mini,11,5,0.0191
215,flare,LogisticRegression,CBDSCV_Mini,11,10,0.0192
216,flare,LogisticRegression,CBDSCV_Mini,12,2,0.0185
217,flare,LogisticRegression,CBDSCV_Mini,12,5,0.0187
218,flare,LogisticRegression,CBDSCV_Mini,12,10,0.0188
219,flare,LogisticRegression,CBDSCV_Mini,13,2,0.0313
220,flare,LogisticRegression,CBDSCV_Mini,13,5,0.0311
221,flare,LogisticRegression,CBDSCV_Mini,13,10,0.0311
222,flare,LogisticRegression,CBDSCV_Mini,14,2,0.0270
223,flare,LogisticRegression,CBDSCV_Mini,14,5,0.0272
224,flare,LogisticRegression,CBDSCV_Mini,14,10,0.0277
225,flare,LogisticRegression,CBDSCV_Mini,15,2,0.0187
226,flare,LogisticRegression,CBDSCV_Mini,15,5,0.0187
227,flare,LogisticRegression,CBDSCV_Mini,15,10,0.0191
228,flare,LogisticRegression,CBDSCV_Mini,16,2,0.0193
229,flare,LogisticRegression,CBDSCV_Mini,16,5,0.0191
230,flare,LogisticRegression,CBDSCV_Mini,16,10,0.0194
231,flare,LogisticRegression,CBDSCV_Mini,17,2,0.0233
232,flare,LogisticRegression,CBDSCV_Mini,17,5,0.0232
233,flare,LogisticRegression,CBDSCV_Mini,17,10,0.0236
234,flare,LogisticRegression,CBDSCV_Mini,18,2,0.0252
235,flare,LogisticRegression,CBDSCV_Mini,18,5,0.0252
236,flare,LogisticRegression,CBDSCV_Mini,18,10,0.0253
237,flare,LogisticRegression,CBDSCV_Mini,19,2,0.0198
238,flare,LogisticRegression,CBDSCV_Mini,19,5,0.0200
239,flare,LogisticRegression,CBDSCV_Mini,19,10,0.0198
240,flare,LogisticRegression,StratifiedKFold,0,2,0.0008
241,flare,LogisticRegression,StratifiedKFold,0,5,0.0008
242,flare,LogisticRegression,StratifiedKFold,0,10,0.0008
243,flare,LogisticRegression,StratifiedKFold,1,2,0.0008
244,flare,LogisticRegression,StratifiedKFold,1,5,0.0008
245,flare,LogisticRegression,StratifiedKFold,1,10,0.0008
246,flare,LogisticRegression,StratifiedKFold,2,2,0.0008
247,flare,LogisticRegression,StratifiedKFold,2,5,0.0008
248,flare,LogisticRegression,StratifiedKFold,2,10,0.0008
249,flare,LogisticRegression,StratifiedKFold,3,2,0.0008
250,flare,LogisticRegression,StratifiedKFold,3,5,0.0008
251,flare,LogisticRegression,StratifiedKFold,3,10,0.0009
252,flare,LogisticRegression,StratifiedKFold,4,2,0.0007
